"ID","URL","Titel","Beschreibung","Ort","Typ","Reichweite","Staatlich_Öffentlich","Adresse_Herausgeber","Land","Geodaten","lat","lon"
1,"http://offenedaten.aachen.de/","Aachen Open Data","Open Data Portal der Stadt Aachen mit über 70 Datensätzen verschiedener Organisationen, einschließlich der Stadt Stolberg und der Gemeinde Roetgen (Stand: 7.11.2017)","Aachen","odp","kommunal","ja","Stadt Aachen, Markt, 52058 Aachen","Deutschland","",50.7761914,6.0829277
2,"http://www.geoportal-bw.de","GDI Baden-Württemberg","Die Amtliche informations- und Kommunikationsplattform des Landes Baden-Würtenberg dient als Zugangsknoten zur Geodateninfrastruktur des Landes und informiert über aktuelle Entwicklungen und Projekte. Angeboten werden Datensuche und interaktive Dartstellung von Geodaten für Verwaltung, Wirtschaft, Wissenschaft und den Bürger. (Stand: 26.10.2017)","Baden-Württemberg","gdi","regional","ja","Büchsenstraße 54, 70174 Stuttgart","Deutschland","ja",48.7794323,9.17109391935801
3,"http://www.gdi.bayern.de/","GDI Bayern","Knotenpunkt der Geodatenifrastruktur der bayrischen Landesregierung: Zugriff u.a. auf das Geoportal Bayern, den BayernAtlas, das Bayrische Frachinformationssystem Naturschutz, das integrierte Bayerische Landwirtschaftliche Informations-System (iBALIS), das Bodeninformationssystem Bayern und den Bayerischen Denkmal-Atlas. (Stand: 7.11.2017)","Bayern","gdi","regional","ja","Alexandrastraße 4, 80538 München","Deutschland","ja",48.1416478,11.5903622
4,"https://opendata.bayern.de/","Open Data Portal des Freistaats Bayern","Open Data Portal der bayrischen Landesregierung (Stand: 22.6.2018)","Bayern","odp","regional","ja","Odeonsplatz 4, 80539 München","Deutschland","",48.1440011,11.5774407
5,"http://www.stadtentwicklung.berlin.de/geoinformation/","GDI Berlin","Das Geoportal Berlin bietet Informationen und Zugang zur Geodateninfrastruktur des Landes, der Landesvermessung, Liegenschaftskataster, Grundstückswerten und dem Umweltatlas Berlin (Stand: 26.10.2017)","Berlin","gdi","regional","ja","Württembergische Straße 6, 10707 Berlin","Deutschland","ja",52.4926513,13.3150806
6,"http://daten.berlin.de/","Offene Daten Berlin","Open Data Portal der Stadt Berlin (Stand: 22.6.2018)","Berlin","odp","regional","ja","Martin-Luther-Straße 105, 10825 Berlin","Deutschland","",52.4832798,13.3453171
7,"https://www.bochum.de/opendata","Bochum Open Data","„Online-Anwendungen und verschiedene Datensätze der Stadtverwaltung Bochum.“ (Stand 26.10.2017)","Bochum","odp","kommunal","ja","Willy-Brandt-Platz 2-6, 44787 Bochum","Deutschland","",51.4817532,7.2147474
8,"https://opendata.bonn.de/","Open Data Katalog Bonn","„Dieses Open Data Portal richtet sich in erster Linie an IT-Entwickler, die mit den angebotenen Datensätze Anwendungen erstellen möchten. So können die Datensätze z.B. für wissenschaftliche Zwecke und Bildungseinrichtungen, für bürgerschaftliches Engagement oder die Anwendungsentwicklung von Internetangeboten bzw. Apps, auch für die kommerzielle Weiternutzung, frei verwendet werden.“ (Quelle: Open Data Katalog Bonn, abgerufen am 26.10.2017)","Bonn","odp","kommunal","ja","Bundesstadt Bonn, Berliner Platz 2, 53111 Bonn","Deutschland","",50.7370976,7.09461696382194
9,"https://geoportal.brandenburg.de/","GDI Brandenburg","„Das Land Brandenburg bietet den Nutzern und Anbietern von Geodaten mit dem Geoportal Brandenburg einen zentralen Zugang zu Geodaten. Einfach und komfortabel können Geodaten gesucht und dargestellt werden. Der Zugriff auf verteilte Geodatenbestände wird somit von einer zentralen Stelle aus möglich.“ (Quelle: GDI Brandenburg, abgerufen am 26.10.2017)","Brandenburg","gdi","regional","ja","Heinrich-Mann-Allee 103, 14473 Potsdam","Deutschland","ja",52.38302815,13.0794934998114
10,"http://www.braunschweig.de/leben/stadtplanung_bauen/geoinformationen/opengeodata.html","Braunschweig Open GeoData","„Die Stadt Braunschweig veröffentlicht an dieser Stelle ausgewählte Geodaten zur freien Verwendung durch die Bevölkerung, Vereine, Kongressveranstalter und Gewerbeunternehmen.“ (Quelle: Braunschweig OpenGeoData, abgerufen am 26.10.2017)","Braunschweig","gdi","kommunal","ja","Platz der Deutschen Einheit 1, 38100 Braunschweig","Deutschland","",52.26461525,10.5249959242629
11,"http://gdi.bremen.de/","GDI Bremen","„Die Geodateninfrastruktur der Freien Hansestadt Bremen (GDI-FHB) hat zum Ziel, die in den Verwaltungen des Landes, bei der Stadt Bremen und beim Magistrat Bremerhaven vorhandenen Geodaten und Geodatendienste für Politik, Verwaltung, Wirtschaft, Wissenschaft und Öffentlichkeit zu vernetzen, verfügbar zu machen und deren Nutzung zu erleichtern.“  (Quelle: GDI Bremen, abgerufen am 26.10.2017)","Bremen","gdi","regional","ja","Lloydstr. 4, 28217 Bremen","Deutschland","ja",53.0845748,8.78746387650925
12,"http://transparenz.bremen.de/","Transparenzportal Bremen","„Das Bremische Transparenzportal wird aus über 150 technischen Systemen mit Dokumenten und Datensätzen (Open Data) beliefert. Wenn die Schulen mitgerechnet werden, beliefern sogar über 200 Systeme das Portal. Dabei werden die Daten teilweise manuell eingestellt oder gelangen automatisiert in das Transparenzportal.“ (Quelle: Transparenzportal Bremen. Technischer Aufbau und Funktionsweise des Transparenzportals, abgerufen am 26.10.2017)","Bremen","odp","regional","ja","Rudolf-Hilferding-Platz 1, 28195 Bremen","Deutschland","",53.07908605,8.81255324283708
13,"https://portal-chemnitz.opendata.arcgis.com/","Open Data Stadt Chemnitz","Open-Data-Portal der Stadt Chemnitz (Stand: 22.6.2018)","Chemnitz","odp","kommunal","ja","Markt 1, 09111 Chemnitz, ","Deutschland","",50.8440896,12.9295439
14,"http://www.geodatenzentrum.de/geodaten/gdz_rahmen.gdz_div?gdz_spr=deu&gdz_akt_zeile=5&gdz_anz_zeile=0&gdz_user_id=0","Bundesamt für Kartographie und Geodäsie (BKG) - Open Data: Freie Daten und Dienste","„Die hier angebotenen Geodaten stehen unter verschiedenen Lizenzen geldleistungsfrei zum Download und zur Online-Nutzung zur Verfügung.“ (Quelle: Open Data BKG , abgerufen am 04.6.2018)","Deutschland","odp","national","ja","Richard-Strauss-Allee 11, 60598 Frankfurt am Main","Deutschland","ja",50.09029765,8.66542516772877
15,"https://code-de.org/","CODE-DE","„CODE-DE ist der deutsche Zugang zu den Daten des europäischen Erdbeobachtungsprogramms Copernicus. Dieses Programm der Europäischen Union stellt als Basis der Umweltbeobachtungen Satellitendaten der sogenannten Sentinel-Reihe zur Verfügung.“ (Quelle: CODE-DE, abgerufen am 26.10.2017)","Deutschland","odp","national","teilweise","Invalidenstraße 44, D-10115 Berlin","Deutschland","ja",52.5298323,13.378753
16,"http://www.geoportal.de/","GDI-DE - Geodaten aus Deutschland","„Geodaten aus Deutschland. Ihr Weg zu mehr Wissen. Landkarten, Luftbilder, Themenkarten. Von Energie bis Naturschutz: Hier bei Geoportal.de können Sie Geodaten aus ganz Deutschland recherchieren. Viele Suchergebnisse können Sie sich schon heute als Karte anzeigen lassen und miteinander verknüpfen. Geoportal.de ist ein Service von Bund, Ländern und Kommunen. Für interessierte Bürgerinnen und Bürger und für die Fachwelt. Ein Beitrag zur offenen Wissens- und Informationsgesellschaft. Geoportal.de bietet Ihnen einen umfassenden Überblick. Derzeit stehen hier mehr als 120 000 Einträge. Und die Zahl wächst. Themenkarten verknüpfen Daten zu Informationen für die Praxis. Etwa zu chancenreichen Standorten für neue Windkraftwerke.“ (Quelle: GDI-DE, abgerufen am 26.10.2017)","Deutschland","gdi","national","ja","Richard-Strauss-Allee 11, 60598 Frankfurt am Main","Deutschland","ja",50.09029765,8.66542516772877
17,"http://dblp.org/","DBLP computer science bibliography","„The dblp computer science bibliography is the on-line reference for open bibliographic information on computer science journals and proceedings“ (Quelle: DBLP computer science bibliography, abgerufen am 26.10.2017)","Deutschland","odp","national","nein","Behringstraße 1, 54296 Trier","Deutschland","",49.7511426,6.6763670138806
18,"http://destatis.de/","Destatis - Statistisches Bundesamt","Internetangebot des Statistischen Bundesamtes mit aktuellen Informationen, Publikationen, Zahlen und Fakten der amtlichen Statistik (Stand: 22.6.2018)","Deutschland","stat","national","ja","Gustav-Stresemann-Ring 11, D-65189 Wiesbaden","Deutschland","",50.0710686,8.25129427043278
